run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
196,1701.8,720.4,1,20,172,25.8,314.3,32.6,4.6,17.6,16,1,0,28,55.3,93.3,0.2
197,-973.4,713.2,31,42,234,11.0,104.3,37.0,29.8,21.5,47,1,0,33,59.1,37.5,0.0
198,-160.3,-531.1,34,18,331,1.7,330.1,37.5,29.7,13.1,33,4,2,19,65.3,83.2,0.0
199,404.8,805.9,34,21,144,25.2,107.5,26.3,21.7,34.7,23,1,0,15,83.0,84.5,0.0
200,-240.5,1520.7,32,29,17,3.4,358.6,37.5,35.3,35.8,90,0,0,2,99.2,32.1,0.0
201,-1133.4,1185.1,6,40,75,22.6,267.0,6.6,14.9,20.6,31,5,0,33,31.5,66.0,3419.5
202,-838.1,313.5,23,43,75,13.2,27.8,37.2,3.3,13.7,2,4,0,18,33.4,69.1,0.0
203,1824.8,234.8,22,19,106,9.8,73.4,17.9,34.7,15.6,80,3,0,35,70.3,84.3,0.0
204,7.7,-1327.1,40,6,338,15.4,308.6,23.9,7.9,27.5,49,1,0,31,30.3,45.8,0.0
205,1917.7,1469.5,9,39,286,21.5,298.0,14.0,7.9,38.9,78,1,0,24,81.2,84.5,0.0
206,333.1,1089.3,35,45,291,11.0,318.4,20.1,27.2,26.1,99,0,0,35,76.4,96.9,0.0
207,1116.0,-1519.3,31,29,173,27.4,286.9,35.7,28.4,10.4,56,5,0,32,60.9,38.2,0.0
208,1019.7,1350.6,5,7,83,16.8,192.9,15.5,6.7,21.3,78,5,1,4,88.7,52.4,175.9
209,-150.5,1166.0,34,28,251,17.9,332.8,31.7,31.2,11.6,98,2,1,17,69.2,91.9,0.0
210,1272.3,-1272.6,6,9,20,6.7,210.0,38.2,18.7,20.6,41,5,1,7,73.1,64.7,0.2
211,692.0,1688.9,40,0,276,3.6,198.0,16.0,17.7,27.4,96,3,0,1,96.8,32.3,0.0
212,-1685.7,1695.8,31,29,96,4.3,353.3,19.0,3.0,8.8,54,3,0,1,59.0,83.4,0.0
213,-84.0,1413.4,21,28,21,12.0,198.4,13.9,5.0,27.0,10,5,1,39,78.6,35.2,0.0
214,218.0,1496.8,13,35,217,27.0,253.2,14.0,26.5,2.7,100,1,0,38,33.3,75.0,662.5
215,897.3,-1127.7,8,10,314,0.4,334.1,34.0,18.6,35.1,48,3,0,11,92.1,41.1,0.2
216,-258.0,1105.6,11,37,255,6.6,65.3,29.3,25.6,15.4,42,4,1,18,54.7,70.5,0.2
217,-1899.9,334.2,16,13,93,11.4,102.3,26.9,25.0,16.1,81,1,0,31,89.6,96.9,0.0
218,-1499.2,1082.1,12,9,46,4.7,327.1,29.2,26.6,5.7,5,0,0,2,77.3,78.6,0.2
219,1332.6,1192.4,35,40,298,24.5,24.1,10.6,3.3,19.6,9,1,0,36,93.5,70.4,0.0
220,696.2,-1203.0,28,15,360,1.2,321.0,18.1,32.4,32.7,73,4,1,22,50.7,69.8,0.0
221,1799.8,-671.4,12,21,323,7.5,235.2,25.4,20.5,25.5,98,0,0,23,89.0,34.5,0.2
222,675.1,-414.1,16,9,174,1.0,97.0,29.1,2.4,29.5,9,0,0,38,44.2,91.0,0.0
223,577.4,518.9,9,21,169,14.0,350.1,18.7,18.9,23.2,52,1,0,11,88.7,48.0,0.2
224,-1620.6,1854.2,30,45,291,15.8,90.8,12.1,25.7,15.9,6,2,1,2,67.2,39.6,0.0
225,286.7,-1677.4,8,2,214,25.3,219.2,28.6,24.5,39.6,38,3,1,28,43.4,56.7,1.1
